,relpath,meas_group_vintage_combo,cz,cohort,techid,fileerr_exists,fileout_exists,timestamp,success,warnings,errors,hastempdir
0,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\NE-Chiller-WtrCldCentChlr-0.695-kwpton-0.44-IPLV\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,NE-Chiller-WtrCldCentChlr-0.695-kwpton-0.44-IPLV,True,True,2025.08.25 12:24,True,5257327,2,False
1,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller Carrier 19EX 4667kW_6.16COP_Vanes\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller Carrier 19EX 4667kW_6.16COP_Vanes,True,True,2025.08.25 14:52,True,5288632,2,False
2,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller Carrier 19EX 4997kW_6.40COP_Vanes\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller Carrier 19EX 4997kW_6.40COP_Vanes,True,True,2025.08.25 14:54,True,5288584,2,False
3,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller Carrier 19EX 5148kW_6.34COP_Vanes\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller Carrier 19EX 5148kW_6.34COP_Vanes,True,True,2025.08.25 14:55,True,5288105,2,False
4,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller Carrier 19EX 5208kW_6.88COP_Vanes\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller Carrier 19EX 5208kW_6.88COP_Vanes,True,True,2025.08.25 14:55,True,5288129,2,False
5,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller Carrier 19FA 5651kW_5.50COP_Vanes\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller Carrier 19FA 5651kW_5.50COP_Vanes,True,True,2025.08.25 14:56,True,5288524,2,False
6,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller Carrier 19XL 1674kW_7.89COP_Vanes\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller Carrier 19XL 1674kW_7.89COP_Vanes,True,True,2025.08.25 14:36,True,5288559,2,False
7,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller Carrier 19XL 1779kW_6.18COP_Vanes\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller Carrier 19XL 1779kW_6.18COP_Vanes,True,True,2025.08.25 14:39,True,5288133,2,False
8,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller Carrier 19XL 1797kW_5.69COP_Vanes\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller Carrier 19XL 1797kW_5.69COP_Vanes,True,True,2025.08.25 14:41,True,5285298,2,False
9,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller Carrier 19XL 1871kW_6.49COP_Vanes\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller Carrier 19XL 1871kW_6.49COP_Vanes,True,True,2025.08.25 14:41,False,,,False
10,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller Carrier 19XL 2057kW_6.05COP_Vanes\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller Carrier 19XL 2057kW_6.05COP_Vanes,True,True,2025.08.25 14:44,True,5288507,2,False
11,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller Carrier 19XR 1076kW_5.52COP_Vanes\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller Carrier 19XR 1076kW_5.52COP_Vanes,True,True,2025.08.25 14:26,True,5277281,2,False
12,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller Carrier 19XR 1143kW_6.57COP_VSD\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller Carrier 19XR 1143kW_6.57COP_VSD,True,True,2025.08.25 14:27,True,5251147,2,False
13,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller Carrier 19XR 1157kW_5.62COP_VSD\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller Carrier 19XR 1157kW_5.62COP_VSD,True,True,2025.08.25 14:29,True,5276543,2,False
14,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller Carrier 19XR 1196kW_6.50COP_Vanes\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller Carrier 19XR 1196kW_6.50COP_Vanes,True,True,2025.08.25 14:29,True,5267550,2,False
15,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller Carrier 19XR 1213kW_7.78COP_Vanes\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller Carrier 19XR 1213kW_7.78COP_Vanes,True,True,2025.08.25 14:29,True,5251310,2,False
16,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller Carrier 19XR 1234kW_5.39COP_VSD\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller Carrier 19XR 1234kW_5.39COP_VSD,True,True,2025.08.25 14:29,True,5252139,2,False
17,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller Carrier 19XR 1259kW_6.26COP_Vanes\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller Carrier 19XR 1259kW_6.26COP_Vanes,True,True,2025.08.25 14:30,True,5252596,2,False
18,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller Carrier 19XR 1284kW_6.20COP_Vanes\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller Carrier 19XR 1284kW_6.20COP_Vanes,True,True,2025.08.25 14:31,False,,,False
19,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller Carrier 19XR 1294kW_7.61COP_Vanes\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller Carrier 19XR 1294kW_7.61COP_Vanes,True,True,2025.08.25 14:31,True,5251219,2,False
20,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller Carrier 19XR 1350kW_7.90COP_VSD\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller Carrier 19XR 1350kW_7.90COP_VSD,True,True,2025.08.25 14:32,True,5285781,2,False
21,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller Carrier 19XR 1403kW_7.09COP_VSD\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller Carrier 19XR 1403kW_7.09COP_VSD,True,True,2025.08.25 14:32,True,5267288,2,False
22,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller Carrier 19XR 1407kW_6.04COP_VSD\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller Carrier 19XR 1407kW_6.04COP_VSD,True,True,2025.08.25 14:33,True,5285019,2,False
23,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller Carrier 19XR 1410kW_8.54COP_VSD\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller Carrier 19XR 1410kW_8.54COP_VSD,True,True,2025.08.25 14:33,True,5251166,2,False
24,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller Carrier 19XR 1558kW_5.81COP_VSD\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller Carrier 19XR 1558kW_5.81COP_VSD,True,True,2025.08.25 14:35,False,,,False
25,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller Carrier 19XR 1586kW_5.53COP_VSD\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller Carrier 19XR 1586kW_5.53COP_VSD,True,True,2025.08.25 14:35,False,,,False
26,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller Carrier 19XR 1635kW_6.36COP_Vanes\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller Carrier 19XR 1635kW_6.36COP_Vanes,True,True,2025.08.25 14:35,True,5252732,2,False
27,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller Carrier 19XR 1656kW_8.24COP_VSD\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller Carrier 19XR 1656kW_8.24COP_VSD,True,True,2025.08.25 14:35,True,5251172,2,False
28,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller Carrier 19XR 1723kW_8.32COP_VSD\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller Carrier 19XR 1723kW_8.32COP_VSD,True,True,2025.08.25 14:36,True,5251203,2,False
29,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller Carrier 19XR 1727kW_9.04COP_Vanes\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller Carrier 19XR 1727kW_9.04COP_Vanes,True,True,2025.08.25 14:36,True,5287994,2,False
30,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller Carrier 19XR 1758kW_5.86COP_VSD\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller Carrier 19XR 1758kW_5.86COP_VSD,True,True,2025.08.25 14:38,False,,,False
31,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller Carrier 19XR 1776kW_8.00COP_Vanes\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller Carrier 19XR 1776kW_8.00COP_Vanes,True,True,2025.08.25 14:39,True,5251400,2,False
32,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller Carrier 19XR 1801kW_6.34COP_VSD\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller Carrier 19XR 1801kW_6.34COP_VSD,True,True,2025.08.25 14:41,True,5267544,2,False
33,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller Carrier 19XR 2391kW_6.44COP_VSD\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller Carrier 19XR 2391kW_6.44COP_VSD,True,True,2025.08.25 14:47,True,5267662,2,False
34,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller Carrier 19XR 2391kW_6.77COP_Vanes\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller Carrier 19XR 2391kW_6.77COP_Vanes,True,True,2025.08.25 14:47,True,5267672,2,False
35,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller Carrier 19XR 742kW_5.42COP_VSD\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller Carrier 19XR 742kW_5.42COP_VSD,True,True,2025.08.25 14:22,True,5276849,2,False
36,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller Carrier 19XR 823kW_6.28COP_Vanes\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller Carrier 19XR 823kW_6.28COP_Vanes,True,True,2025.08.25 14:23,True,5276955,2,False
37,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller Carrier 19XR 869kW_5.57COP_VSD\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller Carrier 19XR 869kW_5.57COP_VSD,True,True,2025.08.25 14:23,True,5252071,2,False
38,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller Carrier 19XR 897kW_6.23COP_VSD\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller Carrier 19XR 897kW_6.23COP_VSD,True,True,2025.08.25 14:24,False,,,False
39,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller Carrier 19XR 897kW_6.50COP_Vanes\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller Carrier 19XR 897kW_6.50COP_Vanes,True,True,2025.08.25 14:23,True,5284147,2,False
40,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller Carrier 19XR 897kW_7.23COP_VSD\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller Carrier 19XR 897kW_7.23COP_VSD,True,True,2025.08.25 14:23,False,,,False
41,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller Carrier 23XL 1062kW_5.50COP_Valve\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller Carrier 23XL 1062kW_5.50COP_Valve,True,True,2025.08.25 14:32,True,5285136,2,False
42,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller Carrier 23XL 1108kW_6.92COP_Valve\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller Carrier 23XL 1108kW_6.92COP_Valve,True,True,2025.08.25 14:29,False,,,False
43,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller Carrier 23XL 1196kW_6.39COP_Valve\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller Carrier 23XL 1196kW_6.39COP_Valve,True,True,2025.08.25 14:26,True,5267568,2,False
44,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller Carrier 23XL 686kW_5.91COP_Valve\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller Carrier 23XL 686kW_5.91COP_Valve,True,True,2025.08.25 14:48,True,5283535,2,False
45,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller Carrier 23XL 724kW_6.04COP_Vanes\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller Carrier 23XL 724kW_6.04COP_Vanes,True,True,2025.08.25 14:22,True,5282863,2,False
46,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller Carrier 23XL 830kW_6.97COP_Valve\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller Carrier 23XL 830kW_6.97COP_Valve,True,True,2025.08.25 14:42,True,5281955,2,False
47,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller Carrier 23XL 862kW_6.11COP_Valve\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller Carrier 23XL 862kW_6.11COP_Valve,True,True,2025.08.25 14:40,True,5282005,2,False
48,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller Carrier 23XL 862kW_6.84COP_Valve\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller Carrier 23XL 862kW_6.84COP_Valve,True,True,2025.08.25 14:39,True,5282845,2,False
49,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller Carrier 23XL 865kW_6.05COP_Valve\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller Carrier 23XL 865kW_6.05COP_Valve,True,True,2025.08.25 14:38,True,5285892,2,False
50,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller McQuay PEH 1030kW_8.58COP_Vanes\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller McQuay PEH 1030kW_8.58COP_Vanes,True,True,2025.08.25 14:25,True,5256133,2,False
